review,sentiment
The vacuum cleaner has very strong suction and cleans well,Positive
Build quality is poor and motor stopped working in one week,Negative
"Excellent product, lightweight and easy to use",Positive
Very noisy and not worth the price,Negative
Suction power is good but wire length is short,Neutral
"Worst vacuum cleaner, waste of money",Negative
Compact design and good performance,Positive
"Average product, nothing special",Neutral
Easy to assemble and powerful cleaning,Positive
Overheats quickly and customer service is bad,Negative
